station_name,year,full_price_tickets,reduced_price_tickets,season_tickets,interchanges,total_entries_exits,region,forecast_2024-25,growth_absolute,growth_percent
aylesham,2023-24,33604,40852,26190,0,100646,,98166.0,-2480.0,-2.4048251653317303
ayr,2022-23,278090,491884,51314,52388,821288,,547092.0,-137098.0,-16.6930479929087
ayr,2023-24,223548,427360,33282,41806,684190,,547092.0,-137098.0,-16.6930479929087
bache,2022-23,115732,215342,15848,0,346922,,459710.0,56394.0,16.255527179020067
bache,2023-24,140440,245840,17036,0,403316,,459710.0,56394.0,16.255527179020067
baglan,2022-23,15972,2504,6596,0,25072,,25008.0,-32.0,-0.12763241863433314
baglan,2023-24,14466,6062,4512,0,25040,,25008.0,-32.0,-0.12763241863433314
bagshot,2022-23,40054,49796,14378,0,104228,,124052.0,9912.0,9.509920558774994
bagshot,2023-24,44058,58362,11720,0,114140,,124052.0,9912.0,9.509920558774994
baildon,2022-23,71930,49764,93048,0,214742,,181846.0,-16448.0,-7.659423866779671
baildon,2023-24,63284,42888,92122,0,198294,,181846.0,-16448.0,-7.659423866779671
baillieston,2022-23,39248,57962,20140,0,117350,,193262.0,37956.0,32.34426927993182
baillieston,2023-24,55588,81996,17722,0,155306,,193262.0,37956.0,32.34426927993182
balcombe,2022-23,48736,83260,31384,0,163380,,198412.0,17516.0,10.721018484514628
balcombe,2023-24,61142,87090,32664,0,180896,,198412.0,17516.0,10.721018484514628
baldock,2022-23,176544,249708,76334,0,502586,,552026.0,24720.0,4.918561201466018
baldock,2023-24,193222,253654,80430,0,527306,,552026.0,24720.0,4.918561201466018
balham,2022-23,1371102,1830622,974214,183785,4175938,,6250882.0,1037472.0,24.844047014107968
balham,2023-24,1640082,2394160,1179168,237599,5213410,,6250882.0,1037472.0,24.844047014107968
balloch,2022-23,95756,224686,30826,0,351268,,509880.0,79306.0,22.577063666488264
balloch,2023-24,140140,258878,31556,0,430574,,509880.0,79306.0,22.577063666488264
balmossie,2022-23,570,96,168,0,834,Scotland,1538.0,352.0,42.20623501199041
balmossie,2023-24,970,216,0,0,1186,Scotland,1538.0,352.0,42.20623501199041
bamber bridge,2022-23,19234,38746,11188,0,69168,,78664.0,4748.0,6.864445986583391
bamber bridge,2023-24,20356,37968,15592,0,73916,,78664.0,4748.0,6.864445986583391
bamford,2022-23,13896,34772,602,0,49270,,88698.0,19714.0,40.01217779581896
bamford,2023-24,15700,52300,984,0,68984,,88698.0,19714.0,40.01217779581896
banavie,2022-23,2102,2182,0,0,4284,Scotland,9312.0,2514.0,58.68347338935575
banavie,2023-24,3744,3054,0,0,6798,Scotland,9312.0,2514.0,58.68347338935575
banbury,2022-23,440808,1145532,227066,234856,1813406,,1977314.0,81954.0,4.519340952880933
banbury,2023-24,470684,1207910,216766,203888,1895360,,1977314.0,81954.0,4.519340952880933
bangor (gwynedd),2022-23,164526,394588,18896,502,578010,,816482.0,119236.0,20.62870884586772
bangor (gwynedd),2023-24,180602,484840,31804,596,697246,,816482.0,119236.0,20.62870884586772
bank hall,2022-23,37980,85818,87390,0,211188,,217152.0,2982.0,1.4120120461389851
bank hall,2023-24,39476,84398,90296,0,214170,,217152.0,2982.0,1.4120120461389851
banstead,2022-23,46962,53092,15418,0,115472,,162188.0,23358.0,20.22828044894
banstead,2023-24,55312,63500,20018,0,138830,,162188.0,23358.0,20.22828044894
barassie,2022-23,36286,65094,10738,0,112118,,161334.0,24608.0,21.948304464938726
barassie,2023-24,49114,80310,7302,0,136726,,161334.0,24608.0,21.948304464938726
bardon mill,2022-23,2864,5396,10,0,8270,,13202.0,2466.0,29.818621523579203
bardon mill,2023-24,1284,9356,96,0,10736,,13202.0,2466.0,29.818621523579203
bare lane,2022-23,17432,39826,55534,0,112792,,106496.0,-3148.0,-2.790978083552025
bare lane,2023-24,13120,42826,53698,0,109644,,106496.0,-3148.0,-2.790978083552025
bargeddie,2022-23,24344,41596,7268,0,73208,,104452.0,15622.0,21.339197901868648
bargeddie,2023-24,31246,49892,7692,0,88830,,104452.0,15622.0,21.339197901868648
bargoed,2022-23,113848,6274,27970,0,148092,,188076.0,19992.0,13.499716392512761
bargoed,2023-24,127312,8040,32732,0,168084,,188076.0,19992.0,13.499716392512761
barking,2022-23,3850930,6213612,2665670,746152,12730212,,13742292.0,506040.0,3.9751105480411484
barking,2023-24,3959558,6634530,2642164,1121910,13236252,,13742292.0,506040.0,3.9751105480411484
barking riverside,2022-23,174750,211744,74890,0,461384,,1428236.0,483426.0,104.7773654916512
barking riverside,2023-24,349022,451546,144242,0,944810,,1428236.0,483426.0,104.7773654916512
barming,2022-23,57864,116374,30708,0,204946,,298354.0,46704.0,22.78844183345857
barming,2023-24,73626,144852,33172,0,251650,,298354.0,46704.0,22.78844183345857
barmouth,2022-23,100876,39022,30460,0,170358,,185194.0,7418.0,4.354359642634922
barmouth,2023-24,101270,49150,27356,0,177776,,185194.0,7418.0,4.354359642634922
barnehurst,2022-23,322854,361682,156496,0,841032,,934164.0,46566.0,5.536769112233541
barnehurst,2023-24,340092,398602,148904,0,887598,,934164.0,46566.0,5.536769112233541
barnes,2022-23,671828,824192,409180,17391,1905200,,2343644.0,219222.0,11.5065085030443
barnes,2023-24,749296,913584,461542,22250,2124422,,2343644.0,219222.0,11.5065085030443
barnes bridge,2022-23,257144,313590,113844,0,684578,,910558.0,112990.0,16.505058590839905
barnes bridge,2023-24,300508,357488,139572,0,797568,,910558.0,112990.0,16.505058590839905
barnetby,2022-23,4916,34762,2784,3862,42462,,62194.0,9866.0,23.23489237435825
barnetby,2023-24,6908,42096,3324,4343,52328,,62194.0,9866.0,23.23489237435825
barnham,2022-23,190052,340756,393744,702656,924552,,1014176.0,44812.0,4.846888006299268
