station_name,full_price_tickets,reduced_price_tickets,season_tickets,total_entries_exits,interchanges,region,nlc_code,tlc_code
Bedminster,59178,54584,9144,122906,0,South West,3245,BMT
Bedworth,32116,15294,5494,52904,0,West Midlands,1165,BEH
Bedwyn,14726,60354,18490,93570,0,South West,3070,BDW
Beeston,253512,228554,36604,518670,43282,East Midlands,1625,BEE
Bekesbourne,15636,11122,2372,29130,0,South East,5198,BKS
Belle Vue,2840,7022,2718,12580,0,North West,2785,BLV
Bellgrove,277344,398504,42780,718628,19351,Scotland,9895,BLG
Bellingham,224884,227734,151098,603716,0,London,5062,BGM
Bellshill,230436,297770,92312,620518,70586,Scotland,9714,BLH
Belmont,69142,66974,42162,178278,0,London,5350,BLM
Belper,57810,111244,11100,180154,2318,East Midlands,1679,BLP
Beltring,7146,4960,2934,15040,0,South East,5227,BEG
Belvedere,255700,365408,122774,743882,0,London,5092,BVD
Bempton,2098,18644,10,20752,0,Yorkshire and The Humber,8047,BEM
Ben Rhydding,87978,72116,32062,192156,0,Yorkshire and The Humber,8564,BEY
Benfleet,1085452,798538,473626,2357616,0,East of England,7439,BEF
Bentham,4852,30404,1510,36766,0,Yorkshire and The Humber,2676,BEN
Bentley (Hampshire),40814,36070,22082,98966,0,South East,5624,BTY
Bentley (South Yorkshire),41174,62532,29590,133296,0,Yorkshire and The Humber,8352,BYK
Bere Alston,8510,21682,7418,37610,0,South West,3549,BAS
Bere Ferrers,1632,8448,2946,13026,0,South West,3550,BFE
Berkhamsted,443006,585348,141228,1169582,0,East of England,1390,BKM
Berkswell,64746,107558,82264,254568,0,West Midlands,1045,BKW
Bermuda Park,11706,5686,2406,19798,0,West Midlands,6543,BEP
Berney Arms,394,404,2,800,0,East of England,7330,BYA
Berry Brow,6830,10868,8902,26600,0,Yorkshire and The Humber,8431,BBW
Berrylands,137262,172326,30344,339932,0,London,5581,BRS
Berwick (Sussex),14802,41874,17154,73830,0,South East,5323,BRK
Berwick-Upon-Tweed,0,620396,9548,629944,12423,North East,7791,BWK
Bescar Lane,1072,1226,6,2304,0,North West,2351,BES
Bescot Stadium,43652,68658,37792,150102,0,West Midlands,1003,BSC
Betchworth,4104,5728,628,10460,0,South East,5472,BTO
Bethnal Green,511072,899098,276776,1686946,0,London,6961,BET
Betws-y-Coed,24546,19256,212,44014,0,Wales,2449,BYC
Beverley,68086,503322,71368,642776,6,Yorkshire and The Humber,8048,BEV
Bexhill,273592,555588,554378,1383558,0,South East,5211,BEX
Bexley,440070,472944,131842,1044856,0,London,5093,BXY
Bexleyheath,596190,671528,196022,1463740,0,London,5094,BXH
Bicester North,174782,482472,101046,758300,3984,South East,3048,BCS
Bicester Village,248678,1371958,139578,1760214,832,South East,3104,BIT
Bickley,292790,311816,86814,691420,3888,London,5063,BKL
Bidston,98992,122880,74790,296662,76621,North West,2136,BID
Biggleswade,280348,390866,118070,789284,0,East of England,6170,BIW
Bilbrook,69802,31740,33936,135478,0,West Midlands,4618,BBK
Billericay,949056,698866,546026,2193948,0,East of England,6871,BIC
Billingham,15518,75528,6960,98006,0,North East,7910,BIL
Billingshurst,108236,203598,96252,408086,0,South East,5464,BIG
Bingham,20528,34782,6506,61816,0,East Midlands,6235,BIN
Bingley,305262,451478,182042,938782,0,Yorkshire and The Humber,8553,BIY
Birchgrove,38292,2110,8664,49066,0,Wales,3907,BCG
Birchington-On-Sea,45910,104382,190546,340838,0,South East,5163,BCH
Birchwood,184130,131542,56648,372320,0,North West,2304,BWD
Birkbeck,40406,29318,12666,82390,0,London,5401,BIK
Birkdale,161866,708690,156354,1026910,0,North West,2352,BDL
